24 Jul 2014 12:30:36,941 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Adaptador do Microsoft ISATAP #5
24 Jul 2014 12:30:36,941 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Adaptador do Microsoft ISATAP #2
24 Jul 2014 12:30:36,941 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Adaptador do Microsoft ISATAP
24 Jul 2014 12:30:36,941 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Adaptador do Microsoft ISATAP #3
24 Jul 2014 12:30:36,941 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Adaptador do Microsoft 6to4
24 Jul 2014 12:30:36,942 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Adaptador do Microsoft ISATAP #4
24 Jul 2014 12:30:36,942 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Adaptador do Microsoft ISATAP #6
24 Jul 2014 12:30:36,942 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Adaptador do Microsoft ISATAP #7
24 Jul 2014 12:30:36,942 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Adaptador do Microsoft ISATAP #8
24 Jul 2014 12:30:37,213 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Using network interface: VirtualBox Host-Only Ethernet Adapter with MTU 1500
24 Jul 2014 12:30:37,831 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Multicast group joined
24 Jul 2014 12:30:37,832 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: VirtualBox Host-Only Ethernet Adapter - Deterministic Network Enhancer Miniport
24 Jul 2014 12:30:37,832 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: SAMSUNG Mobile USB Remote NDIS Network Device #2 - VirtualBox Bridged Networking Driver Miniport
24 Jul 2014 12:30:37,849 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: SAMSUNG Mobile USB Remote NDIS Network Device - VirtualBox Bridged Networking Driver Miniport
24 Jul 2014 12:30:37,849 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Cisco Systems VPN Adapter for 64-bit Windows - VirtualBox Bridged Networking Driver Miniport
24 Jul 2014 12:30:37,849 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Microsoft Virtual WiFi Miniport Adapter #2 - VirtualBox Bridged Networking Driver Miniport
24 Jul 2014 12:30:37,850 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Adaptador de Miniporta WiFi Virtual da Microsoft - VirtualBox Bridged Networking Driver Miniport
24 Jul 2014 12:30:37,850 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Realtek PCIe GBE Family Controller - VirtualBox Bridged Networking Driver Miniport
24 Jul 2014 12:30:37,850 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Intel(R) Centrino(R) Advanced-N 6230 - VirtualBox Bridged Networking Driver Miniport
24 Jul 2014 12:30:37,850 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Intel(R) Centrino(R) Advanced-N 6230-Virtual WiFi Filter Driver-0000
24 Jul 2014 12:30:37,850 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Adaptador de Miniporta WiFi Virtual da Microsoft - VirtualBox Bridged Networking Driver Miniport-QoS Packet Scheduler-0000
24 Jul 2014 12:30:37,850 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Adaptador de Miniporta WiFi Virtual da Microsoft - VirtualBox Bridged Networking Driver Miniport-WFP LightWeight Filter-0000
24 Jul 2014 12:30:37,850 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: WAN Miniport (IPv6)-QoS Packet Scheduler-0000
24 Jul 2014 12:30:37,851 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Intel(R) Centrino(R) Advanced-N 6230 - VirtualBox Bridged Networking Driver Miniport-QoS Packet Scheduler-0000
24 Jul 2014 12:30:37,851 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Intel(R) Centrino(R) Advanced-N 6230 - VirtualBox Bridged Networking Driver Miniport-WFP LightWeight Filter-0000
24 Jul 2014 12:30:37,851 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Microsoft Virtual WiFi Miniport Adapter #2 - VirtualBox Bridged Networking Driver Miniport-QoS Packet Scheduler-0000
24 Jul 2014 12:30:37,851 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Microsoft Virtual WiFi Miniport Adapter #2 - VirtualBox Bridged Networking Driver Miniport-WFP LightWeight Filter-0000
24 Jul 2014 12:30:37,852 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Intel(R) Centrino(R) Advanced-N 6230-Native WiFi Filter Driver-0000
24 Jul 2014 12:30:37,852 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Realtek PCIe GBE Family Controller - VirtualBox Bridged Networking Driver Miniport-QoS Packet Scheduler-0000
24 Jul 2014 12:30:37,852 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Realtek PCIe GBE Family Controller - VirtualBox Bridged Networking Driver Miniport-WFP LightWeight Filter-0000
24 Jul 2014 12:30:37,852 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Microsoft Virtual WiFi Miniport Adapter-Native WiFi Filter Driver-0000
24 Jul 2014 12:30:37,852 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Miniporta de rede remota (Monitor de rede) - Deterministic Network Enhancer Miniport-QoS Packet Scheduler-0000
24 Jul 2014 12:30:37,852 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: VirtualBox Host-Only Ethernet Adapter - Deterministic Network Enhancer Miniport-QoS Packet Scheduler-0000
24 Jul 2014 12:30:37,852 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Microsoft Virtual WiFi Miniport Adapter #2-Native WiFi Filter Driver-0000
24 Jul 2014 12:30:37,853 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: VirtualBox Host-Only Ethernet Adapter - Deterministic Network Enhancer Miniport-WFP LightWeight Filter-0000
24 Jul 2014 12:30:37,853 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Miniporta de rede remota (IP) - Deterministic Network Enhancer Miniport-QoS Packet Scheduler-0000
24 Jul 2014 12:30:37,995 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: VIVO
24 Jul 2014 12:30:38,409 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Found 67 network interfaces
24 Jul 2014 12:30:38,684 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Using network interface: Software Loopback Interface 1 with MTU 1500
24 Jul 2014 12:30:38,684 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Multicast group joined
24 Jul 2014 12:30:38,684 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: WAN Miniport (SSTP)
24 Jul 2014 12:30:38,684 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: WAN Miniport (L2TP)
24 Jul 2014 12:30:38,684 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: WAN Miniport (PPTP)
24 Jul 2014 12:30:38,685 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: WAN Miniport (PPPOE)
24 Jul 2014 12:30:38,685 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: WAN Miniport (IPv6)
24 Jul 2014 12:30:38,685 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: WAN Miniport (Network Monitor)
24 Jul 2014 12:30:38,685 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: WAN Miniport (IP)
24 Jul 2014 12:30:38,685 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: RAS Async Adapter
24 Jul 2014 12:30:38,685 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: WAN Miniport (IKEv2)
24 Jul 2014 12:30:38,685 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Realtek PCIe GBE Family Controller
24 Jul 2014 12:30:38,955 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Using network interface: Intel(R) Centrino(R) Advanced-N 6230 with MTU 1500
24 Jul 2014 12:30:39,227 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Multicast group joined
24 Jul 2014 12:30:39,227 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Microsoft Virtual WiFi Miniport Adapter
24 Jul 2014 12:30:39,227 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Bluetooth Device (Personal Area Network)
24 Jul 2014 12:30:39,227 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Bluetooth Device (RFCOMM Protocol TDI)
24 Jul 2014 12:30:39,227 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Microsoft Virtual WiFi Miniport Adapter #2
24 Jul 2014 12:30:39,227 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Teredo Tunneling Pseudo-Interface
24 Jul 2014 12:30:39,227 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Teredo Tunneling Pseudo-Interface
24 Jul 2014 12:30:39,227 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Miniporta de rede remota (Monitor de rede) - Deterministic Network Enhancer Miniport
